left_entity,left_class,relation,right_entity,right_class,context
famous,Q105673273,P361,Harry James Potter,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
only child,Q105673273,P361,Harry,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
James,Q5,P40,Harry,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Lily Potter,Q5,P40,Harry,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Harry,Q5,P22,James,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Harry,Q5,P25,Lily Potter,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
power to vanquish Lord Voldemort,Q105673273,P361,Neville Longbottom,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
power to vanquish Lord Voldemort,Q105673273,P361,Harry,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Neville Longbottom,Q5,P7047,Lord Voldemort,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Harry,Q5,P7047,Lord Voldemort,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
powerful,Q105673273,P361,Lord Voldemort,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
feared,Q105673273,P361,Lord Voldemort,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Dark wizard,Q105673273,P361,Lord Voldemort,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
wizard,Q105673273,P361,Lord Voldemort,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Harry was chosen as the target,Q1190554,P828,half of the prophecy was reported to Voldemort,Q1190554,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Voldemort,Q5,P1449,Dark Lord,Q82799,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Severus Snape,Q5,P3342,Voldemort,Q5,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Potter family,Q43229,P828,Harry was chosen as the target,Q1190554,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Voldemort,Q5,P7047,Potter family,Q43229,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Lily Potter,Q5,P1971,only child,Q105673273,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
James,Q5,P1971,only child,Q105673273,"Harry James Potter (b. 31 July 1980) was an English half-blood wizard, and one of the most famous wizards of modern times. The only child and son of James and Lily Potter (née Evans), Harry's birth was overshadowed by a prophecy, naming either himself or Neville Longbottom as the one with the power to vanquish Lord Voldemort, the most powerful and feared Dark wizard in the world. After half of the prophecy was reported to Voldemort, courtesy of Severus Snape, Harry was chosen as the target due to his many similarities with the Dark Lord. In turn, this caused the Potter family to go into hiding."
Harry,Q5,P106,Auror,Q28640,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P1344,helped reform and revolutionise the Ministry of Magic,Q1190554,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
helped reform and revolutionise the Ministry of Magic,Q1190554,P533,Ministry of Magic,Q43229,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Ginny,Q5,P26,Harry,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P1344,had three children,Q1190554,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Ginny,Q5,P1344,had three children,Q1190554,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P40,James Sirius,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P40,Albus Severus,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P1971,three children,Q105673273,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P40,Lily Luna,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Ginny,Q5,P40,James Sirius,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Ginny,Q5,P40,Albus Severus,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Ginny,Q5,P40,Lily Luna,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Ginny,Q5,P1971,three children,Q105673273,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
"Edward ""Teddy"" Remus Lupin",Q5,P1290,Harry,Q5,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P106,Head of the Auror Office,Q28640,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P533,promoted to Head of the Auror Office,Q1190554,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
deliver Defence Against the Dark Arts lectures,Q1190554,P276,Hogwarts,Q43229,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P3629,26,Q185836,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P1344,deliver Defence Against the Dark Arts lectures,Q1190554,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P533,promoted to Head of the Department of Magical Law Enforcement,Q1190554,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Harry,Q5,P106,Head of the Department of Magical Law Enforcement,Q28640,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
promoted to Head of the Department of Magical Law Enforcement,Q1190554,P585,summer of 2020,Q205892,"After the war, Harry became an Auror and helped reform and revolutionise the Ministry of Magic. At some point, he married Ginny, with whom he had three children: James Sirius, Albus Severus, and Lily Luna. He was also named the godfather of Edward ""Teddy"" Remus Lupin. In 2007, Harry was promoted to Head of the Auror Office at the age of 26, and would occasionally deliver Defence Against the Dark Arts lectures at Hogwarts. He was later promoted to Head of the Department of Magical Law Enforcement by the summer of 2020."
Hermione,Q5,P1344,battles,Q180684,"Hermione played a significant role in many other battles of the Second Wizarding War, as well. In 1997, she fought in the Battle of the Seven Potters, alongside the Order of the Phoenix. Hermione and Ron decided not to return to Hogwarts for their final year of studies, instead choosing to accompany Harry on his quest to find and destroy Lord Voldemort's Horcruxes, a quest in which several of her actions were essential. She destroyed Hufflepuff's Cup, a Horcrux, with Ron using a Basilisk fang found in the Chamber of Secrets. Hermione then fought in the Battle of Hogwarts, helping in the defeat of the Death Eater who tortured her: Bellatrix Lestrange."
Hermione,Q5,P1344,Battle of the Seven Potters,Q180684,"Hermione played a significant role in many other battles of the Second Wizarding War, as well. In 1997, she fought in the Battle of the Seven Potters, alongside the Order of the Phoenix. Hermione and Ron decided not to return to Hogwarts for their final year of studies, instead choosing to accompany Harry on his quest to find and destroy Lord Voldemort's Horcruxes, a quest in which several of her actions were essential. She destroyed Hufflepuff's Cup, a Horcrux, with Ron using a Basilisk fang found in the Chamber of Secrets. Hermione then fought in the Battle of Hogwarts, helping in the defeat of the Death Eater who tortured her: Bellatrix Lestrange."
Hermione,Q5,P463,Order of the Phoenix,Q43229,"Hermione played a significant role in many other battles of the Second Wizarding War, as well. In 1997, she fought in the Battle of the Seven Potters, alongside the Order of the Phoenix. Hermione and Ron decided not to return to Hogwarts for their final year of studies, instead choosing to accompany Harry on his quest to find and destroy Lord Voldemort's Horcruxes, a quest in which several of her actions were essential. She destroyed Hufflepuff's Cup, a Horcrux, with Ron using a Basilisk fang found in the Chamber of Secrets. Hermione then fought in the Battle of Hogwarts, helping in the defeat of the Death Eater who tortured her: Bellatrix Lestrange."
Hermione,Q5,P2546,Harry,Q5,"Hermione played a significant role in many other battles of the Second Wizarding War, as well. In 1997, she fought in the Battle of the Seven Potters, alongside the Order of the Phoenix. Hermione and Ron decided not to return to Hogwarts for their final year of studies, instead choosing to accompany Harry on his quest to find and destroy Lord Voldemort's Horcruxes, a quest in which several of her actions were essential. She destroyed Hufflepuff's Cup, a Horcrux, with Ron using a Basilisk fang found in the Chamber of Secrets. Hermione then fought in the Battle of Hogwarts, helping in the defeat of the Death Eater who tortured her: Bellatrix Lestrange."
Ron,Q5,P2546,Harry,Q5,"Hermione played a significant role in many other battles of the Second Wizarding War, as well. In 1997, she fought in the Battle of the Seven Potters, alongside the Order of the Phoenix. Hermione and Ron decided not to return to Hogwarts for their final year of studies, instead choosing to accompany Harry on his quest to find and destroy Lord Voldemort's Horcruxes, a quest in which several of her actions were essential. She destroyed Hufflepuff's Cup, a Horcrux, with Ron using a Basilisk fang found in the Chamber of Secrets. Hermione then fought in the Battle of Hogwarts, helping in the defeat of the Death Eater who tortured her: Bellatrix Lestrange."
